case_id,family,model_id,mode,input_path,output_dir,command,status,stems,notes
musdb_al_james_schoolboy_facination,musdb18hq,demucs_mdx_extra_q_4stem,4stems,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_mdx_extra_q_4stem,python -m demucs.separate -n mdx_extra_q -o CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/demucs_mdx_extra_q_4stem --filename {track}/{stem}.{ext} -d cpu --float32 CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav,completed,bass;drums;other;vocals,
musdb_al_james_schoolboy_facination,musdb18hq,torchaudio_hdemucs_high_musdb_plus,4stems,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/torchaudio_hdemucs_high_musdb_plus,python CODE/chapter07/pretrained/torchaudio_hdemucs_cli.py CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav --outdir CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/torchaudio_hdemucs_high_musdb_plus --bundle HDEMUCS_HIGH_MUSDB_PLUS --device cpu --overlap 1.0,completed,bass;drums;other;vocals,
musdb_al_james_schoolboy_facination,musdb18hq,openunmix_umxhq_4stem,4stems,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/openunmix_umxhq_4stem,python CODE/chapter07/pretrained/openunmix_cli.py CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav --model umxhq --outdir CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/openunmix_umxhq_4stem --ext .wav --niter 1 --no-cuda --targets vocals drums bass other,completed,bass;drums;other;vocals,
musdb_al_james_schoolboy_facination,musdb18hq,bs_roformer_audio_separator,2stems,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/bs_roformer_audio_separator,python CODE/chapter07/pretrained/audio_separator_cli.py --log_level warning -m model_bs_roformer_ep_317_sdr_12.9755.ckpt --output_format WAV --output_dir CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/bs_roformer_audio_separator --sample_rate 44100 --model_file_dir CODE/chapter07/checkpoints/07_4_models/audio_separator CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav,skipped_model_not_ready,,See outputs/tables/07_4_model_setup.csv
musdb_al_james_schoolboy_facination,musdb18hq,melband_roformer_big_beta4,2stems,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/melband_roformer_big_beta4,python CODE/chapter07/pretrained/audio_separator_cli.py --log_level warning -m melband_roformer_big_beta4.ckpt --output_format WAV --output_dir CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/melband_roformer_big_beta4 --sample_rate 44100 --model_file_dir CODE/chapter07/checkpoints/07_4_models/audio_separator CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/input.wav,skipped_model_not_ready,,See outputs/tables/07_4_model_setup.csv
xiaohetang_author,pop,demucs_htdemucs_ft_4stem,4stems,CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_4stem,python -m demucs.separate -n htdemucs_ft -o CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_4stem --filename {track}/{stem}.{ext} -d cpu --float32 CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,completed,bass;drums;other;vocals,
xiaohetang_author,pop,demucs_htdemucs_ft_2stem,2stems,CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_2stem,python -m demucs.separate -n htdemucs_ft -o CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_2stem --filename {track}/{stem}.{ext} -d cpu --float32 --two-stems vocals CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,completed,accompaniment;vocals,
xiaohetang_author,pop,demucs_htdemucs_6stem,6stems,CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_6stem,python -m demucs.separate -n htdemucs_6s -o CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_6stem --filename {track}/{stem}.{ext} -d cpu --float32 CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,completed,bass;drums;guitar;other;piano;vocals,
xiaohetang_author,pop,demucs_mdx_extra_q_4stem,4stems,CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_mdx_extra_q_4stem,python -m demucs.separate -n mdx_extra_q -o CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_mdx_extra_q_4stem --filename {track}/{stem}.{ext} -d cpu --float32 CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,completed,bass;drums;other;vocals,
xiaohetang_author,pop,torchaudio_hdemucs_high_musdb_plus,4stems,CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,CODE/chapter07/output_audio/07_4/xiaohetang_author/torchaudio_hdemucs_high_musdb_plus,python CODE/chapter07/pretrained/torchaudio_hdemucs_cli.py CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav --outdir CODE/chapter07/output_audio/07_4/xiaohetang_author/torchaudio_hdemucs_high_musdb_plus --bundle HDEMUCS_HIGH_MUSDB_PLUS --device cpu --overlap 1.0,completed,bass;drums;other;vocals,
xiaohetang_author,pop,openunmix_umxhq_4stem,4stems,CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,CODE/chapter07/output_audio/07_4/xiaohetang_author/openunmix_umxhq_4stem,python CODE/chapter07/pretrained/openunmix_cli.py CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav --model umxhq --outdir CODE/chapter07/output_audio/07_4/xiaohetang_author/openunmix_umxhq_4stem --ext .wav --niter 1 --no-cuda --targets vocals drums bass other,completed,bass;drums;other;vocals,
xiaohetang_author,pop,bs_roformer_audio_separator,2stems,CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,CODE/chapter07/output_audio/07_4/xiaohetang_author/bs_roformer_audio_separator,python CODE/chapter07/pretrained/audio_separator_cli.py --log_level warning -m model_bs_roformer_ep_317_sdr_12.9755.ckpt --output_format WAV --output_dir CODE/chapter07/output_audio/07_4/xiaohetang_author/bs_roformer_audio_separator --sample_rate 44100 --model_file_dir CODE/chapter07/checkpoints/07_4_models/audio_separator CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,skipped_model_not_ready,,See outputs/tables/07_4_model_setup.csv
xiaohetang_author,pop,melband_roformer_big_beta4,2stems,CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,CODE/chapter07/output_audio/07_4/xiaohetang_author/melband_roformer_big_beta4,python CODE/chapter07/pretrained/audio_separator_cli.py --log_level warning -m melband_roformer_big_beta4.ckpt --output_format WAV --output_dir CODE/chapter07/output_audio/07_4/xiaohetang_author/melband_roformer_big_beta4 --sample_rate 44100 --model_file_dir CODE/chapter07/checkpoints/07_4_models/audio_separator CODE/chapter07/output_audio/07_4/xiaohetang_author/input.wav,skipped_model_not_ready,,See outputs/tables/07_4_model_setup.csv
orchestra_author,orchestra,demucs_htdemucs_ft_4stem,4stems,CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_4stem,python -m demucs.separate -n htdemucs_ft -o CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_4stem --filename {track}/{stem}.{ext} -d cpu --float32 CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,completed,bass;drums;other;vocals,
orchestra_author,orchestra,demucs_htdemucs_ft_2stem,2stems,CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_2stem,python -m demucs.separate -n htdemucs_ft -o CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_2stem --filename {track}/{stem}.{ext} -d cpu --float32 --two-stems vocals CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,completed,accompaniment;vocals,
orchestra_author,orchestra,demucs_htdemucs_6stem,6stems,CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_6stem,python -m demucs.separate -n htdemucs_6s -o CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_6stem --filename {track}/{stem}.{ext} -d cpu --float32 CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,completed,bass;drums;guitar;other;piano;vocals,
orchestra_author,orchestra,demucs_mdx_extra_q_4stem,4stems,CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_mdx_extra_q_4stem,python -m demucs.separate -n mdx_extra_q -o CODE/chapter07/output_audio/07_4/orchestra_author/demucs_mdx_extra_q_4stem --filename {track}/{stem}.{ext} -d cpu --float32 CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,completed,bass;drums;other;vocals,
orchestra_author,orchestra,torchaudio_hdemucs_high_musdb_plus,4stems,CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,CODE/chapter07/output_audio/07_4/orchestra_author/torchaudio_hdemucs_high_musdb_plus,python CODE/chapter07/pretrained/torchaudio_hdemucs_cli.py CODE/chapter07/output_audio/07_4/orchestra_author/input.wav --outdir CODE/chapter07/output_audio/07_4/orchestra_author/torchaudio_hdemucs_high_musdb_plus --bundle HDEMUCS_HIGH_MUSDB_PLUS --device cpu --overlap 1.0,completed,bass;drums;other;vocals,
orchestra_author,orchestra,openunmix_umxhq_4stem,4stems,CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,CODE/chapter07/output_audio/07_4/orchestra_author/openunmix_umxhq_4stem,python CODE/chapter07/pretrained/openunmix_cli.py CODE/chapter07/output_audio/07_4/orchestra_author/input.wav --model umxhq --outdir CODE/chapter07/output_audio/07_4/orchestra_author/openunmix_umxhq_4stem --ext .wav --niter 1 --no-cuda --targets vocals drums bass other,completed,bass;drums;other;vocals,
orchestra_author,orchestra,bs_roformer_audio_separator,2stems,CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,CODE/chapter07/output_audio/07_4/orchestra_author/bs_roformer_audio_separator,python CODE/chapter07/pretrained/audio_separator_cli.py --log_level warning -m model_bs_roformer_ep_317_sdr_12.9755.ckpt --output_format WAV --output_dir CODE/chapter07/output_audio/07_4/orchestra_author/bs_roformer_audio_separator --sample_rate 44100 --model_file_dir CODE/chapter07/checkpoints/07_4_models/audio_separator CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,skipped_model_not_ready,,See outputs/tables/07_4_model_setup.csv
orchestra_author,orchestra,melband_roformer_big_beta4,2stems,CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,CODE/chapter07/output_audio/07_4/orchestra_author/melband_roformer_big_beta4,python CODE/chapter07/pretrained/audio_separator_cli.py --log_level warning -m melband_roformer_big_beta4.ckpt --output_format WAV --output_dir CODE/chapter07/output_audio/07_4/orchestra_author/melband_roformer_big_beta4 --sample_rate 44100 --model_file_dir CODE/chapter07/checkpoints/07_4_models/audio_separator CODE/chapter07/output_audio/07_4/orchestra_author/input.wav,skipped_model_not_ready,,See outputs/tables/07_4_model_setup.csv
