case_id,model_id,stem,path,sample_rate
musdb_al_james_schoolboy_facination,openunmix_umxhq_4stem,other,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/openunmix_umxhq_4stem/input/other.wav,44100
musdb_al_james_schoolboy_facination,openunmix_umxhq_4stem,vocals,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/openunmix_umxhq_4stem/input/vocals.wav,44100
musdb_al_james_schoolboy_facination,torchaudio_hdemucs_high_musdb_plus,bass,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/torchaudio_hdemucs_high_musdb_plus/input/bass.wav,44100
musdb_al_james_schoolboy_facination,torchaudio_hdemucs_high_musdb_plus,drums,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/torchaudio_hdemucs_high_musdb_plus/input/drums.wav,44100
musdb_al_james_schoolboy_facination,torchaudio_hdemucs_high_musdb_plus,other,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/torchaudio_hdemucs_high_musdb_plus/input/other.wav,44100
musdb_al_james_schoolboy_facination,torchaudio_hdemucs_high_musdb_plus,vocals,CODE/chapter07/output_audio/07_4/musdb_al_james_schoolboy_facination/torchaudio_hdemucs_high_musdb_plus/input/vocals.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_6stem,bass,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_6stem/htdemucs_6s/input/bass.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_6stem,drums,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_6stem/htdemucs_6s/input/drums.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_6stem,guitar,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_6stem/htdemucs_6s/input/guitar.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_6stem,other,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_6stem/htdemucs_6s/input/other.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_6stem,piano,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_6stem/htdemucs_6s/input/piano.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_6stem,vocals,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_6stem/htdemucs_6s/input/vocals.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_ft_2stem,accompaniment,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_ft_2stem/htdemucs_ft/input/no_vocals.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_ft_2stem,vocals,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_ft_2stem/htdemucs_ft/input/vocals.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_ft_4stem,bass,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_ft_4stem/htdemucs_ft/input/bass.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_ft_4stem,drums,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_ft_4stem/htdemucs_ft/input/drums.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_ft_4stem,other,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_ft_4stem/htdemucs_ft/input/other.wav,44100
musdb_am_contra_heart_peripheral,demucs_htdemucs_ft_4stem,vocals,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_htdemucs_ft_4stem/htdemucs_ft/input/vocals.wav,44100
musdb_am_contra_heart_peripheral,demucs_mdx_extra_q_4stem,bass,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_mdx_extra_q_4stem/mdx_extra_q/input/bass.wav,44100
musdb_am_contra_heart_peripheral,demucs_mdx_extra_q_4stem,drums,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_mdx_extra_q_4stem/mdx_extra_q/input/drums.wav,44100
musdb_am_contra_heart_peripheral,demucs_mdx_extra_q_4stem,other,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_mdx_extra_q_4stem/mdx_extra_q/input/other.wav,44100
musdb_am_contra_heart_peripheral,demucs_mdx_extra_q_4stem,vocals,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/demucs_mdx_extra_q_4stem/mdx_extra_q/input/vocals.wav,44100
musdb_am_contra_heart_peripheral,openunmix_umxhq_4stem,bass,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/openunmix_umxhq_4stem/input/bass.wav,44100
musdb_am_contra_heart_peripheral,openunmix_umxhq_4stem,drums,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/openunmix_umxhq_4stem/input/drums.wav,44100
musdb_am_contra_heart_peripheral,openunmix_umxhq_4stem,other,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/openunmix_umxhq_4stem/input/other.wav,44100
musdb_am_contra_heart_peripheral,openunmix_umxhq_4stem,vocals,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/openunmix_umxhq_4stem/input/vocals.wav,44100
musdb_am_contra_heart_peripheral,torchaudio_hdemucs_high_musdb_plus,bass,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/torchaudio_hdemucs_high_musdb_plus/input/bass.wav,44100
musdb_am_contra_heart_peripheral,torchaudio_hdemucs_high_musdb_plus,drums,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/torchaudio_hdemucs_high_musdb_plus/input/drums.wav,44100
musdb_am_contra_heart_peripheral,torchaudio_hdemucs_high_musdb_plus,other,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/torchaudio_hdemucs_high_musdb_plus/input/other.wav,44100
musdb_am_contra_heart_peripheral,torchaudio_hdemucs_high_musdb_plus,vocals,CODE/chapter07/output_audio/07_4/musdb_am_contra_heart_peripheral/torchaudio_hdemucs_high_musdb_plus/input/vocals.wav,44100
orchestra_author,demucs_htdemucs_6stem,bass,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_6stem/htdemucs_6s/input/bass.wav,48000
orchestra_author,demucs_htdemucs_6stem,drums,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_6stem/htdemucs_6s/input/drums.wav,48000
orchestra_author,demucs_htdemucs_6stem,guitar,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_6stem/htdemucs_6s/input/guitar.wav,48000
orchestra_author,demucs_htdemucs_6stem,other,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_6stem/htdemucs_6s/input/other.wav,48000
orchestra_author,demucs_htdemucs_6stem,piano,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_6stem/htdemucs_6s/input/piano.wav,48000
orchestra_author,demucs_htdemucs_6stem,vocals,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_6stem/htdemucs_6s/input/vocals.wav,48000
orchestra_author,demucs_htdemucs_ft_2stem,accompaniment,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_2stem/htdemucs_ft/input/no_vocals.wav,48000
orchestra_author,demucs_htdemucs_ft_2stem,vocals,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_2stem/htdemucs_ft/input/vocals.wav,48000
orchestra_author,demucs_htdemucs_ft_4stem,bass,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_4stem/htdemucs_ft/input/bass.wav,48000
orchestra_author,demucs_htdemucs_ft_4stem,drums,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_4stem/htdemucs_ft/input/drums.wav,48000
orchestra_author,demucs_htdemucs_ft_4stem,other,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_4stem/htdemucs_ft/input/other.wav,48000
orchestra_author,demucs_htdemucs_ft_4stem,vocals,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_htdemucs_ft_4stem/htdemucs_ft/input/vocals.wav,48000
orchestra_author,demucs_mdx_extra_q_4stem,bass,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_mdx_extra_q_4stem/mdx_extra_q/input/bass.wav,48000
orchestra_author,demucs_mdx_extra_q_4stem,drums,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_mdx_extra_q_4stem/mdx_extra_q/input/drums.wav,48000
orchestra_author,demucs_mdx_extra_q_4stem,other,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_mdx_extra_q_4stem/mdx_extra_q/input/other.wav,48000
orchestra_author,demucs_mdx_extra_q_4stem,vocals,CODE/chapter07/output_audio/07_4/orchestra_author/demucs_mdx_extra_q_4stem/mdx_extra_q/input/vocals.wav,48000
orchestra_author,openunmix_umxhq_4stem,bass,CODE/chapter07/output_audio/07_4/orchestra_author/openunmix_umxhq_4stem/input/bass.wav,48000
orchestra_author,openunmix_umxhq_4stem,drums,CODE/chapter07/output_audio/07_4/orchestra_author/openunmix_umxhq_4stem/input/drums.wav,48000
orchestra_author,openunmix_umxhq_4stem,other,CODE/chapter07/output_audio/07_4/orchestra_author/openunmix_umxhq_4stem/input/other.wav,48000
orchestra_author,openunmix_umxhq_4stem,vocals,CODE/chapter07/output_audio/07_4/orchestra_author/openunmix_umxhq_4stem/input/vocals.wav,48000
orchestra_author,torchaudio_hdemucs_high_musdb_plus,bass,CODE/chapter07/output_audio/07_4/orchestra_author/torchaudio_hdemucs_high_musdb_plus/input/bass.wav,48000
orchestra_author,torchaudio_hdemucs_high_musdb_plus,drums,CODE/chapter07/output_audio/07_4/orchestra_author/torchaudio_hdemucs_high_musdb_plus/input/drums.wav,48000
orchestra_author,torchaudio_hdemucs_high_musdb_plus,other,CODE/chapter07/output_audio/07_4/orchestra_author/torchaudio_hdemucs_high_musdb_plus/input/other.wav,48000
orchestra_author,torchaudio_hdemucs_high_musdb_plus,vocals,CODE/chapter07/output_audio/07_4/orchestra_author/torchaudio_hdemucs_high_musdb_plus/input/vocals.wav,48000
xiaohetang_author,demucs_htdemucs_6stem,bass,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_6stem/htdemucs_6s/input/bass.wav,48000
xiaohetang_author,demucs_htdemucs_6stem,drums,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_6stem/htdemucs_6s/input/drums.wav,48000
xiaohetang_author,demucs_htdemucs_6stem,guitar,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_6stem/htdemucs_6s/input/guitar.wav,48000
xiaohetang_author,demucs_htdemucs_6stem,other,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_6stem/htdemucs_6s/input/other.wav,48000
xiaohetang_author,demucs_htdemucs_6stem,piano,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_6stem/htdemucs_6s/input/piano.wav,48000
xiaohetang_author,demucs_htdemucs_6stem,vocals,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_6stem/htdemucs_6s/input/vocals.wav,48000
xiaohetang_author,demucs_htdemucs_ft_2stem,accompaniment,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_2stem/htdemucs_ft/input/no_vocals.wav,48000
xiaohetang_author,demucs_htdemucs_ft_2stem,vocals,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_2stem/htdemucs_ft/input/vocals.wav,48000
xiaohetang_author,demucs_htdemucs_ft_4stem,bass,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_4stem/htdemucs_ft/input/bass.wav,48000
xiaohetang_author,demucs_htdemucs_ft_4stem,drums,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_4stem/htdemucs_ft/input/drums.wav,48000
xiaohetang_author,demucs_htdemucs_ft_4stem,other,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_4stem/htdemucs_ft/input/other.wav,48000
xiaohetang_author,demucs_htdemucs_ft_4stem,vocals,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_htdemucs_ft_4stem/htdemucs_ft/input/vocals.wav,48000
xiaohetang_author,demucs_mdx_extra_q_4stem,bass,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_mdx_extra_q_4stem/mdx_extra_q/input/bass.wav,48000
xiaohetang_author,demucs_mdx_extra_q_4stem,drums,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_mdx_extra_q_4stem/mdx_extra_q/input/drums.wav,48000
xiaohetang_author,demucs_mdx_extra_q_4stem,other,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_mdx_extra_q_4stem/mdx_extra_q/input/other.wav,48000
xiaohetang_author,demucs_mdx_extra_q_4stem,vocals,CODE/chapter07/output_audio/07_4/xiaohetang_author/demucs_mdx_extra_q_4stem/mdx_extra_q/input/vocals.wav,48000
xiaohetang_author,openunmix_umxhq_4stem,bass,CODE/chapter07/output_audio/07_4/xiaohetang_author/openunmix_umxhq_4stem/input/bass.wav,48000
xiaohetang_author,openunmix_umxhq_4stem,drums,CODE/chapter07/output_audio/07_4/xiaohetang_author/openunmix_umxhq_4stem/input/drums.wav,48000
xiaohetang_author,openunmix_umxhq_4stem,other,CODE/chapter07/output_audio/07_4/xiaohetang_author/openunmix_umxhq_4stem/input/other.wav,48000
xiaohetang_author,openunmix_umxhq_4stem,vocals,CODE/chapter07/output_audio/07_4/xiaohetang_author/openunmix_umxhq_4stem/input/vocals.wav,48000
xiaohetang_author,torchaudio_hdemucs_high_musdb_plus,bass,CODE/chapter07/output_audio/07_4/xiaohetang_author/torchaudio_hdemucs_high_musdb_plus/input/bass.wav,48000
xiaohetang_author,torchaudio_hdemucs_high_musdb_plus,drums,CODE/chapter07/output_audio/07_4/xiaohetang_author/torchaudio_hdemucs_high_musdb_plus/input/drums.wav,48000
xiaohetang_author,torchaudio_hdemucs_high_musdb_plus,other,CODE/chapter07/output_audio/07_4/xiaohetang_author/torchaudio_hdemucs_high_musdb_plus/input/other.wav,48000
xiaohetang_author,torchaudio_hdemucs_high_musdb_plus,vocals,CODE/chapter07/output_audio/07_4/xiaohetang_author/torchaudio_hdemucs_high_musdb_plus/input/vocals.wav,48000
