"audio_pair","overall_music_similarity","cultural_similarity","recommendation_level","overall_music_similarity_annotations","cultural_similarity_annotations","recommendation_level_annotations","num_annotators"
"1_2-6_53","0.36","0.07","0.22","[0.629, 0.091]","[0.057, 0.091]","[0.343, 0.091]","2"
"1_2-7_1","0.14","0.21","0.07","[0.271, 0.006]","[0.414, 0.006]","[0.129, 0.006]","2"
"1_2-7_32","0.39","0.18","0.46","[0.194, 0.591]","[0.194, 0.163]","[0.194, 0.734]","2"
"1_2-8_15","0.19","0.19","0.62","[0.191]","[0.191]","[0.62]","1"
"1_2-8_5","0.13","0.13","0.13","[0.129]","[0.129]","[0.129]","1"
"1_2-9_22","0.61","0.33","0.33","[0.614]","[0.329]","[0.329]","1"
"1_20-2_15","0.14","0.29","0.14","[0.143]","[0.286]","[0.143]","1"
"1_20-2_49","0.22","0.22","0.00","[0.22]","[0.22]","[0.0]","1"
"1_20-5_43","0.11","0.00","0.11","[0.106]","[0.0]","[0.106]","1"
"1_20-6_15","0.61","0.18","0.75","[0.606]","[0.177]","[0.749]","1"
"1_20-8_14","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_20-8_18","0.19","0.19","0.04","[0.186]","[0.186]","[0.043]","1"
"1_20-8_39","0.22","0.22","0.22","[0.22]","[0.22]","[0.22]","1"
"1_20-9_13","0.13","0.13","0.13","[0.134]","[0.134]","[0.134]","1"
"1_21-3_48","0.19","0.19","0.62","[0.191]","[0.191]","[0.62]","1"
"1_21-7_12","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"1_21-7_54","0.65","0.22","0.08","[0.649]","[0.22]","[0.077]","1"
"1_21-9_50","0.33","0.19","0.04","[0.329]","[0.186]","[0.043]","1"
"1_22-6_29","0.31","0.46","0.17","[0.314]","[0.457]","[0.171]","1"
"1_22-7_7","0.32","0.32","0.03","[0.32]","[0.32]","[0.034]","1"
"1_22-9_32","0.47","0.33","0.33","[0.471]","[0.329]","[0.329]","1"
"1_23-4_44","0.19","0.19","0.05","[0.194]","[0.194]","[0.051]","1"
"1_23-5_18","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"1_23-5_41","0.47","0.33","0.47","[0.471]","[0.329]","[0.471]","1"
"1_23-6_1","0.18","0.32","0.32","[0.177]","[0.32]","[0.32]","1"
"1_23-6_35","0.74","0.60","1.00","[0.743]","[0.6]","[1.0]","1"
"1_23-7_16","0.70","0.56","0.84","[0.7]","[0.557]","[0.843]","1"
"1_23-8_54","0.29","0.29","0.29","[0.294]","[0.294]","[0.294]","1"
"1_24-4_12","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"1_24-7_44","0.13","0.13","0.13","[0.134]","[0.134]","[0.134]","1"
"1_24-8_4","0.23","0.23","0.23","[0.229]","[0.229]","[0.229]","1"
"1_24-8_46","0.23","0.23","0.23","[0.229]","[0.229]","[0.229]","1"
"1_25-1_50","1.00","1.00","1.00","[1.0]","[1.0]","[1.0]","1"
"1_25-2_31","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"1_25-5_10","0.21","0.21","0.21","[0.209]","[0.209]","[0.209]","1"
"1_25-8_21","0.29","0.29","0.29","[0.294]","[0.294]","[0.294]","1"
"1_26-5_18","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"1_26-8_21","0.04","0.04","0.04","[0.043]","[0.043]","[0.043]","1"
"1_27-1_35","0.13","0.28","0.13","[0.134]","[0.277]","[0.134]","1"
"1_27-7_12","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_27-7_23","0.31","0.03","0.74","[0.314]","[0.029]","[0.743]","1"
"1_28-1_43","0.32","0.03","0.18","[0.32]","[0.034]","[0.177]","1"
"1_28-2_47","0.27","0.13","0.13","[0.271]","[0.129]","[0.129]","1"
"1_29-3_15","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"1_29-3_32","0.57","0.42","0.28","[0.566]","[0.423]","[0.28]","1"
"1_29-6_1","0.37","0.22","0.00","[0.366]","[0.223]","[0.0]","1"
"1_29-8_53","0.26","0.12","0.12","[0.263]","[0.12]","[0.12]","1"
"1_29-8_8","0.37","0.37","0.23","[0.371]","[0.371]","[0.229]","1"
"1_29-9_48","0.32","0.32","0.03","[0.32]","[0.32]","[0.034]","1"
"1_29-9_49","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_3-1_41","0.17","0.74","0.46","[0.171]","[0.743]","[0.457]","1"
"1_3-2_20","1.00","1.00","0.99","[1.0]","[1.0]","[0.986]","1"
"1_3-2_47","0.23","0.23","0.23","[0.229]","[0.229]","[0.229]","1"
"1_3-4_47","0.00","0.13","0.00","[0.0]","[0.129]","[0.0]","1"
"1_3-8_53","0.20","0.20","0.20","[0.2]","[0.2]","[0.2]","1"
"1_3-8_54","0.12","0.12","0.41","[0.12]","[0.12]","[0.406]","1"
"1_30-4_28","0.13","0.42","0.28","[0.134]","[0.42]","[0.277]","1"
"1_30-4_39","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_30-7_21","0.28","0.28","0.28","[0.28]","[0.28]","[0.28]","1"
"1_30-7_8","0.42","0.14","0.28","[0.423]","[0.137]","[0.28]","1"
"1_31-2_49","0.14","0.14","0.00","[0.137]","[0.137]","[0.0]","1"
"1_31-4_15","0.27","0.27","0.27","[0.266]","[0.266]","[0.266]","1"
"1_31-5_13","0.13","0.13","0.13","[0.134]","[0.134]","[0.134]","1"
"1_31-7_47","0.21","0.21","0.21","[0.209]","[0.209]","[0.209]","1"
"1_31-8_17","0.14","0.14","0.14","[0.143]","[0.143]","[0.143]","1"
"1_32-2_9","0.13","0.56","0.13","[0.129]","[0.557]","[0.129]","1"
"1_32-6_52","0.04","0.04","0.04","[0.043]","[0.043]","[0.043]","1"
"1_32-7_3","0.11","0.11","0.11","[0.109]","[0.109]","[0.109]","1"
"1_32-7_39","0.20","0.20","0.20","[0.2]","[0.2]","[0.2]","1"
"1_32-7_49","0.61","0.33","0.33","[0.614]","[0.329]","[0.329]","1"
"1_32-8_50","0.51","0.51","0.51","[0.506]","[0.506]","[0.506]","1"
"1_32-9_36","0.52","0.09","0.00","[0.52]","[0.091]","[0.0]","1"
"1_33-7_16","0.00","0.00","0.22","[0.0]","[0.0]","[0.22]","1"
"1_33-8_33","0.19","0.19","0.19","[0.194]","[0.194]","[0.194]","1"
"1_33-9_11","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_34-2_53","0.13","0.28","0.13","[0.134]","[0.277]","[0.134]","1"
"1_34-5_50","0.12","0.12","0.12","[0.12]","[0.12]","[0.12]","1"
"1_34-7_44","0.32","0.03","0.03","[0.32]","[0.034]","[0.034]","1"
"1_35-3_24","0.06","0.49","0.63","[0.057]","[0.486]","[0.629]","1"
"1_35-3_7","0.18","0.75","0.18","[0.18]","[0.751]","[0.18]","1"
"1_35-5_10","0.89","0.47","1.00","[0.894]","[0.466]","[1.0]","1"
"1_35-7_12","0.20","0.20","0.20","[0.2]","[0.2]","[0.2]","1"
"1_37-3_32","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_37-4_3","0.13","0.13","0.13","[0.134]","[0.134]","[0.134]","1"
"1_37-5_10","0.62","0.19","0.77","[0.623]","[0.194]","[0.766]","1"
"1_37-5_50","0.67","0.52","0.52","[0.666]","[0.523]","[0.523]","1"
"1_37-7_15","0.41","0.27","0.27","[0.414]","[0.271]","[0.271]","1"
"1_37-7_16","0.14","0.14","0.29","[0.143]","[0.143]","[0.286]","1"
"1_37-8_43","0.39","0.39","0.39","[0.386]","[0.386]","[0.386]","1"
"1_37-9_43","0.17","0.46","0.03","[0.171]","[0.457]","[0.029]","1"
"1_37-9_49","0.29","0.29","0.29","[0.294]","[0.294]","[0.294]","1"
"1_38-2_48","0.13","0.13","0.13","[0.129]","[0.129]","[0.129]","1"
"1_38-2_53","0.34","0.19","0.34","[0.337]","[0.194]","[0.337]","1"
"1_38-4_16","0.17","0.31","0.60","[0.171]","[0.314]","[0.6]","1"
"1_39-1_4","0.33","0.33","0.19","[0.334]","[0.334]","[0.191]","1"
"1_39-4_40","0.21","0.21","0.21","[0.209]","[0.209]","[0.209]","1"
"1_39-6_40","0.32","0.61","0.03","[0.32]","[0.606]","[0.034]","1"
"1_39-6_46","0.46","0.18","0.18","[0.463]","[0.177]","[0.177]","1"
"1_39-7_25","0.23","0.09","0.00","[0.234]","[0.091]","[0.0]","1"
"1_39-8_10","0.11","0.11","0.25","[0.106]","[0.106]","[0.249]","1"
"1_4-2_6","0.31","0.74","0.31","[0.314]","[0.743]","[0.314]","1"
"1_4-3_35","0.27","0.27","0.27","[0.271]","[0.271]","[0.271]","1"
"1_4-5_28","0.09","0.23","0.23","[0.086]","[0.229]","[0.229]","1"
"1_4-6_11","0.32","0.18","0.18","[0.323]","[0.18]","[0.18]","1"
"1_4-6_13","0.04","0.04","0.04","[0.037]","[0.037]","[0.037]","1"
"1_40-6_52","0.42","0.56","0.28","[0.42]","[0.563]","[0.277]","1"
"1_40-9_7","0.02","0.17","0.02","[0.023]","[0.166]","[0.023]","1"
"1_41-1_45","0.87","0.87","0.58","[0.866]","[0.866]","[0.58]","1"
"1_41-8_44","0.54","0.39","0.39","[0.537]","[0.394]","[0.394]","1"
"1_42-2_13","0.35","0.35","0.21","[0.351]","[0.351]","[0.209]","1"
"1_42-6_32","0.89","1.00","1.00","[0.891]","[1.0]","[1.0]","1"
"1_42-7_41","0.56","0.13","0.56","[0.557]","[0.129]","[0.557]","1"
"1_42-8_24","0.47","0.47","0.47","[0.466]","[0.466]","[0.466]","1"
"1_43-2_34","0.16","0.44","0.01","[0.157]","[0.443]","[0.014]","1"
"1_43-3_36","0.88","0.88","0.73","[0.877]","[0.877]","[0.734]","1"
"1_43-6_27","0.40","0.26","0.26","[0.4]","[0.257]","[0.257]","1"
"1_43-6_50","0.24","0.09","0.09","[0.237]","[0.094]","[0.094]","1"
"1_43-9_14","0.11","0.11","0.11","[0.106]","[0.106]","[0.106]","1"
"1_43-9_41","0.21","0.21","0.21","[0.206]","[0.206]","[0.206]","1"
"1_44-2_51","0.08","1.00","0.08","[0.08]","[1.0]","[0.08]","1"
"1_44-6_43","0.21","0.21","0.35","[0.206]","[0.206]","[0.349]","1"
"1_44-7_39","0.01","0.01","0.01","[0.006]","[0.006]","[0.006]","1"
"1_44-8_33","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_44-8_6","0.03","0.03","0.03","[0.034]","[0.034]","[0.034]","1"
"1_45-3_43","0.37","0.37","0.80","[0.371]","[0.371]","[0.8]","1"
"1_45-7_27","0.11","0.11","0.39","[0.106]","[0.106]","[0.391]","1"
"1_45-9_37","0.28","0.56","0.42","[0.277]","[0.563]","[0.42]","1"
"1_46-3_17","0.01","0.30","0.01","[0.014]","[0.3]","[0.014]","1"
"1_46-3_32","0.04","0.04","0.04","[0.043]","[0.043]","[0.043]","1"
"1_46-3_43","0.17","0.17","0.17","[0.171]","[0.171]","[0.171]","1"
"1_46-3_46","0.33","0.04","0.19","[0.329]","[0.043]","[0.186]","1"
"1_46-7_53","0.32","0.18","0.32","[0.32]","[0.177]","[0.32]","1"
"1_46-9_30","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"1_48-1_50","0.13","0.70","0.13","[0.129]","[0.7]","[0.129]","1"
"1_48-7_33","0.53","0.25","0.25","[0.534]","[0.249]","[0.249]","1"
"1_48-7_9","0.13","0.13","0.13","[0.134]","[0.134]","[0.134]","1"
"1_48-8_23","0.27","0.27","0.27","[0.271]","[0.271]","[0.271]","1"
"1_48-9_35","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_48-9_45","0.15","0.15","0.15","[0.151]","[0.151]","[0.151]","1"
"1_49-1_6","0.66","0.80","0.80","[0.657]","[0.8]","[0.8]","1"
"1_49-2_29","0.00","0.38","0.00","[0.0]","[0.38]","[0.0]","1"
"1_5-8_3","0.77","0.77","0.77","[0.766]","[0.766]","[0.766]","1"
"1_50-4_21","0.37","0.51","0.37","[0.371]","[0.514]","[0.371]","1"
"1_50-5_17","0.01","0.01","0.01","[0.006]","[0.006]","[0.006]","1"
"1_50-7_52","0.20","0.20","0.20","[0.2]","[0.2]","[0.2]","1"
"1_50-9_14","0.26","0.11","0.11","[0.257]","[0.114]","[0.114]","1"
"1_51-4_15","0.53","0.00","0.82","[0.534]","[0.0]","[0.82]","1"
"1_51-4_28","0.33","0.19","0.19","[0.334]","[0.191]","[0.191]","1"
"1_51-8_29","0.31","0.31","0.31","[0.314]","[0.314]","[0.314]","1"
"1_51-8_48","0.28","0.28","0.28","[0.28]","[0.28]","[0.28]","1"
"1_51-8_53","0.07","0.07","0.00","[0.066]","[0.066]","[0.0]","1"
"1_52-8_17","0.22","0.22","0.22","[0.22]","[0.22]","[0.22]","1"
"1_53-4_3","0.29","0.01","0.15","[0.291]","[0.006]","[0.149]","1"
"1_53-5_33","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_53-5_40","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_54-2_47","0.28","0.57","0.14","[0.28]","[0.566]","[0.137]","1"
"1_54-3_31","0.19","0.19","0.62","[0.191]","[0.191]","[0.62]","1"
"1_54-6_19","0.21","0.21","0.21","[0.209]","[0.209]","[0.209]","1"
"1_54-8_23","0.28","0.14","0.14","[0.28]","[0.137]","[0.137]","1"
"1_54-8_38","0.39","0.25","0.53","[0.391]","[0.249]","[0.534]","1"
"1_54-9_6","0.11","0.54","0.00","[0.114]","[0.543]","[0.0]","1"
"1_6-3_42","0.14","0.14","0.14","[0.143]","[0.143]","[0.143]","1"
"1_6-7_42","0.09","0.00","0.00","[0.094]","[0.0]","[0.0]","1"
"1_7-2_44","0.86","1.00","1.00","[0.863]","[1.0]","[1.0]","1"
"1_7-3_20","0.13","0.13","0.13","[0.129]","[0.129]","[0.129]","1"
"1_7-3_39","0.00","0.00","0.26","[0.0]","[0.0]","[0.257]","1"
"1_7-7_5","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"1_7-9_54","0.61","0.33","0.33","[0.614]","[0.329]","[0.329]","1"
"1_8-3_46","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_8-7_45","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"1_8-8_37","0.01","0.01","0.01","[0.006]","[0.006]","[0.006]","1"
"1_9-6_26","0.62","0.77","0.62","[0.623]","[0.766]","[0.623]","1"
"1_9-6_4","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"1_9-9_26","0.06","0.06","0.00","[0.063]","[0.063]","[0.0]","1"
"2_1-2_30","1.00","1.00","1.00","[1.0]","[1.0]","[1.0]","1"
"2_1-8_24","0.51","0.37","0.22","[0.509]","[0.366]","[0.223]","1"
"2_1-9_32","0.26","0.26","0.26","[0.257]","[0.257]","[0.257]","1"
"2_1-9_48","0.06","0.00","0.00","[0.057]","[0.0]","[0.0]","1"
"2_10-3_14","0.43","0.14","0.00","[0.429]","[0.143]","[0.0]","1"
"2_10-4_25","0.18","0.18","0.04","[0.18]","[0.18]","[0.037]","1"
"2_10-9_11","0.04","0.04","0.18","[0.037]","[0.037]","[0.18]","1"
"2_10-9_13","0.32","0.18","0.18","[0.323]","[0.18]","[0.18]","1"
"2_10-9_47","0.16","0.02","0.16","[0.163]","[0.02]","[0.163]","1"
"2_12-2_27","0.19","1.00","0.19","[0.191]","[1.0]","[0.191]","1"
"2_12-3_16","0.41","0.13","0.41","[0.414]","[0.129]","[0.414]","1"
"2_12-3_19","0.23","0.23","0.23","[0.229]","[0.229]","[0.229]","1"
"2_12-3_23","0.03","0.03","0.18","[0.034]","[0.034]","[0.177]","1"
"2_12-3_38","0.29","0.15","0.29","[0.294]","[0.151]","[0.294]","1"
"2_12-3_50","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_12-7_37","0.32","0.18","0.03","[0.32]","[0.177]","[0.034]","1"
"2_12-7_47","0.21","0.21","0.21","[0.209]","[0.209]","[0.209]","1"
"2_13-5_28","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_13-8_3","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_13-9_10","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"2_14-4_20","0.13","0.13","0.99","[0.129]","[0.129]","[0.986]","1"
"2_15-4_43","0.41","0.56","0.56","[0.414]","[0.557]","[0.557]","1"
"2_15-9_3","0.25","0.25","0.25","[0.249]","[0.249]","[0.249]","1"
"2_16-2_29","0.58","0.87","0.72","[0.58]","[0.866]","[0.723]","1"
"2_16-2_53","0.27","0.41","0.56","[0.271]","[0.414]","[0.557]","1"
"2_16-8_3","0.25","0.00","0.25","[0.249]","[0.0]","[0.249]","1"
"2_17-5_13","0.49","0.49","0.35","[0.494]","[0.494]","[0.351]","1"
"2_17-5_5","0.11","0.54","0.00","[0.114]","[0.543]","[0.0]","1"
"2_17-6_52","0.26","0.26","0.11","[0.257]","[0.257]","[0.114]","1"
"2_17-7_38","0.00","0.00","0.64","[0.0]","[0.0]","[0.643]","1"
"2_17-7_39","0.43","0.14","0.71","[0.429]","[0.143]","[0.714]","1"
"2_17-7_40","0.12","0.12","0.12","[0.123]","[0.123]","[0.123]","1"
"2_17-8_12","0.22","0.08","0.08","[0.223]","[0.08]","[0.08]","1"
"2_18-6_51","0.33","0.33","0.33","[0.329]","[0.329]","[0.329]","1"
"2_18-7_2","0.14","0.29","0.14","[0.143]","[0.286]","[0.143]","1"
"2_18-7_3","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_18-8_29","0.07","0.07","0.21","[0.071]","[0.071]","[0.214]","1"
"2_18-9_37","0.13","0.13","0.13","[0.129]","[0.129]","[0.129]","1"
"2_19-2_26","0.41","0.46","0.55","[0.151, 0.749, 0.323]","[0.151, 0.891, 0.323]","[0.437, 0.891, 0.323]","3"
"2_19-3_2","0.23","0.23","0.23","[0.229]","[0.229]","[0.229]","1"
"2_19-4_13","0.04","0.18","0.04","[0.037]","[0.18]","[0.037]","1"
"2_19-4_8","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_19-5_34","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_19-6_24","0.12","0.12","0.12","[0.123]","[0.123]","[0.123]","1"
"2_19-6_53","0.09","0.04","0.04","[0.08, 0.106, 0.086]","[0.08, 0.106, 0.0]","[0.08, 0.106, 0.0]","3"
"2_19-7_1","0.11","0.11","0.11","[0.106, 0.106]","[0.106, 0.106]","[0.106, 0.106]","2"
"2_19-7_32","0.17","0.17","0.17","[0.191, 0.386, 0.151, 0.18, 0.0]","[0.191, 0.386, 0.151, 0.18, 0.0]","[0.191, 0.386, 0.151, 0.18, 0.0]","5"
"2_19-8_15","0.24","0.29","0.34","[0.471, 0.129, 0.134]","[0.329, 0.414, 0.134]","[0.329, 0.557, 0.134]","3"
"2_19-8_5","0.02","0.02","0.02","[0.023]","[0.023]","[0.023]","1"
"2_19-9_22","0.00","0.00","0.00","[0.0]","[0.0]","[0.0]","1"
"2_19-9_8","0.27","0.00","0.12","[0.266]","[0.0]","[0.123]","1"
"2_2-5_16","0.48","0.48","0.19","[0.48]","[0.48]","[0.194]","1"
"2_21-5_7","0.11","0.11","0.11","[0.109]","[0.109]","[0.109]","1"
"2_21-6_52","0.51","0.51","0.51","[0.506]","[0.506]","[0.506]","1"
"2_21-7_16","0.25","0.11","0.11","[0.249]","[0.106]","[0.106]","1"
"2_23-2_4","0.11","0.11","0.54","[0.114]","[0.114]","[0.543]","1"
"2_23-6_39","0.13","0.13","0.13","[0.129]","[0.129]","[0.129]","1"
"2_23-7_8","0.28","0.28","0.28","[0.28]","[0.28]","[0.28]","1"
"2_23-8_38","0.18","0.18","0.18","[0.177]","[0.177]","[0.177]","1"
"2_23-8_47","0.04","0.18","0.75","[0.037]","[0.18]","[0.751]","1"
"2_23-9_44","0.17","0.03","0.03","[0.171]","[0.029]","[0.029]","1"
"2_23-9_53","0.01","0.58","0.15","[0.006]","[0.577]","[0.149]","1"
"2_24-4_33","0.03","0.03","0.17","[0.029]","[0.029]","[0.171]","1"
"2_25-6_21","0.38","0.38","0.38","[0.38]","[0.38]","[0.38]","1"
"2_26-3_2","0.18","0.18","0.18","[0.18]","[0.18]","[0.18]","1"
"2_26-3_51","0.19","0.04","0.19","[0.194, 0.177]","[0.051, 0.034]","[0.051, 0.32]","2"
"2_26-4_8","0.51","0.37","0.65","[0.509]","[0.366]","[0.651]","1"
"2_26-5_34","0.17","0.03","0.03","[0.171]","[0.029]","[0.029]","1"
"2_26-6_24","0.00","0.00","0.14","[0.0, 0.0, 0.28]","[0.0, 0.0, 0.137]","[0.0, 0.3, 0.28]","3"
"2_26-6_53","0.26","0.26","0.26","[0.257]","[0.257]","[0.257]","1"
"2_26-7_1","0.03","0.03","0.00","[0.034]","[0.034]","[0.0]","1"
"2_26-8_15","0.16","0.23","0.23","[0.043, 0.28]","[0.043, 0.423]","[0.043, 0.423]","2"
"2_26-8_5","0.31","0.41","0.17","[0.271, 0.177, 0.486]","[0.129, 0.32, 0.771]","[0.129, 0.177, 0.2]","3"
"2_26-9_22","0.15","0.15","0.15","[0.166, 0.143]","[0.166, 0.143]","[0.166, 0.143]","2"
