"audio_pair","overall_music_similarity","cultural_similarity","recommendation_level","overall_music_similarity_annotations","cultural_similarity_annotations","recommendation_level_annotations","num_annotators"
"1_10-6_9","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_10-7_21","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_10-7_26","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_11-3_17","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_11-3_21","0.38","0.50","0.62","[2.5]","[3.0]","[3.5]","1"
"1_11-5_50","0.12","0.12","0.25","[1.5]","[1.5]","[2.0]","1"
"1_11-8_28","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_11-9_35","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_12-2_17","0.88","0.88","0.62","[4.5]","[4.5]","[3.5]","1"
"1_12-2_51","0.50","1.00","0.62","[3.0]","[5.0]","[3.5]","1"
"1_12-7_39","0.50","0.25","0.25","[3.0]","[2.0]","[2.0]","1"
"1_12-9_15","0.00","0.12","0.00","[1.0]","[1.5]","[1.0]","1"
"1_13-3_41","0.62","0.88","0.50","[3.5]","[4.5]","[3.0]","1"
"1_13-4_46","0.12","0.25","0.12","[1.5]","[2.0]","[1.5]","1"
"1_13-5_41","0.25","0.75","0.00","[2.0]","[4.0]","[1.0]","1"
"1_13-5_46","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"1_13-5_54","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"1_13-6_29","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_13-6_32","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_14-2_50","0.00","0.12","0.00","[1.0]","[1.5]","[1.0]","1"
"1_14-4_20","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_14-6_27","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_14-7_35","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_14-8_16","0.00","0.00","0.12","[1.0]","[1.0]","[1.5]","1"
"1_14-8_26","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_15-1_45","0.50","0.00","0.00","[3.0]","[1.0]","[1.0]","1"
"1_15-4_40","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_15-8_13","0.25","0.00","0.12","[2.0]","[1.0]","[1.5]","1"
"1_15-9_5","0.25","0.25","0.25","[2.0]","[2.0]","[2.0]","1"
"1_16-8_36","0.38","0.25","0.00","[2.5]","[2.0]","[1.0]","1"
"1_16-8_40","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_18-5_29","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_18-5_31","0.50","0.75","0.62","[3.0]","[4.0]","[3.5]","1"
"1_18-6_36","0.12","0.12","0.12","[1.5]","[1.5]","[1.5]","1"
"1_19-2_2","0.25","0.62","0.38","[2.0]","[3.5]","[2.5]","1"
"1_19-3_15","0.12","0.12","0.12","[1.5]","[1.5]","[1.5]","1"
"1_19-3_26","0.25","0.12","0.25","[2.0]","[1.5]","[2.0]","1"
"1_19-3_43","0.50","0.62","0.62","[3.0]","[3.5]","[3.5]","1"
"1_19-5_29","0.00","0.12","0.12","[1.0]","[1.5]","[1.5]","1"
"1_19-6_3","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_19-9_31","0.25","0.25","0.25","[2.0]","[2.0]","[2.0]","1"
"1_2-2_26","0.54","0.71","0.79","[4.0, 3.5, 2.0]","[5.0, 5.0, 1.5]","[4.5, 4.0, 4.0]","3"
"1_2-3_2","0.50","0.62","0.38","[3.0]","[3.5]","[2.5]","1"
"1_2-3_51","0.53","0.41","0.50","[4.0, 2.0, 2.5, 4.0]","[3.0, 1.5, 1.5, 4.5]","[3.0, 2.0, 4.0, 3.0]","4"
"1_2-4_13","0.25","0.12","0.00","[2.0]","[1.5]","[1.0]","1"
"1_2-4_8","0.38","0.12","0.38","[2.5]","[1.5]","[2.5]","1"
"1_2-5_22","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_2-5_34","0.44","0.38","0.44","[2.0, 3.5]","[1.0, 4.0]","[1.5, 4.0]","2"
"1_2-6_53","0.31","0.06","0.19","[3.0, 1.5]","[1.0, 1.5]","[2.0, 1.5]","2"
"1_2-7_1","0.19","0.25","0.12","[2.5, 1.0]","[3.0, 1.0]","[2.0, 1.0]","2"
"1_2-7_32","0.31","0.12","0.38","[1.0, 3.5]","[1.0, 2.0]","[1.0, 4.0]","2"
"1_2-8_15","0.12","0.12","0.50","[1.5]","[1.5]","[3.0]","1"
"1_2-8_5","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_2-9_22","0.25","0.00","0.00","[2.0]","[1.0]","[1.0]","1"
"1_20-2_15","0.00","0.12","0.00","[1.0]","[1.5]","[1.0]","1"
"1_20-2_49","0.25","0.25","0.00","[2.0]","[2.0]","[1.0]","1"
"1_20-5_43","0.12","0.00","0.12","[1.5]","[1.0]","[1.5]","1"
"1_20-6_15","0.50","0.12","0.62","[3.0]","[1.5]","[3.5]","1"
"1_20-8_14","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_20-8_18","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"1_20-8_39","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_20-9_13","0.12","0.12","0.12","[1.5]","[1.5]","[1.5]","1"
"1_21-3_48","0.12","0.12","0.50","[1.5]","[1.5]","[3.0]","1"
"1_21-7_12","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_21-7_54","0.62","0.25","0.12","[3.5]","[2.0]","[1.5]","1"
"1_21-9_50","0.25","0.12","0.00","[2.0]","[1.5]","[1.0]","1"
"1_22-6_29","0.25","0.38","0.12","[2.0]","[2.5]","[1.5]","1"
"1_22-7_7","0.25","0.25","0.00","[2.0]","[2.0]","[1.0]","1"
"1_22-9_32","0.25","0.12","0.12","[2.0]","[1.5]","[1.5]","1"
"1_23-4_44","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"1_23-5_18","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_23-5_41","0.25","0.12","0.25","[2.0]","[1.5]","[2.0]","1"
"1_23-6_1","0.12","0.25","0.25","[1.5]","[2.0]","[2.0]","1"
"1_23-6_35","0.62","0.50","0.88","[3.5]","[3.0]","[4.5]","1"
"1_23-7_16","0.75","0.62","0.88","[4.0]","[3.5]","[4.5]","1"
"1_23-8_54","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_24-4_12","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_24-7_44","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_24-8_4","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_24-8_46","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_25-1_50","0.88","1.00","1.00","[4.5]","[5.0]","[5.0]","1"
"1_25-2_31","0.25","0.25","0.25","[2.0]","[2.0]","[2.0]","1"
"1_25-5_10","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_25-8_21","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_26-5_18","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_26-8_21","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_27-1_35","0.00","0.12","0.00","[1.0]","[1.5]","[1.0]","1"
"1_27-7_12","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_27-7_23","0.25","0.00","0.62","[2.0]","[1.0]","[3.5]","1"
"1_28-1_43","0.25","0.00","0.12","[2.0]","[1.0]","[1.5]","1"
"1_28-2_47","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_29-3_15","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_29-3_32","0.38","0.25","0.12","[2.5]","[2.0]","[1.5]","1"
"1_29-6_1","0.50","0.38","0.12","[3.0]","[2.5]","[1.5]","1"
"1_29-8_53","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_29-8_8","0.62","0.62","0.50","[3.5]","[3.5]","[3.0]","1"
"1_29-9_48","0.25","0.25","0.00","[2.0]","[2.0]","[1.0]","1"
"1_29-9_49","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_3-1_41","0.12","0.62","0.38","[1.5]","[3.5]","[2.5]","1"
"1_3-2_20","0.88","0.88","0.75","[4.5]","[4.5]","[4.0]","1"
"1_3-2_47","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_3-4_47","0.00","0.25","0.00","[1.0]","[2.0]","[1.0]","1"
"1_3-8_53","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_3-8_54","0.00","0.00","0.25","[1.0]","[1.0]","[2.0]","1"
"1_30-4_28","0.12","0.38","0.25","[1.5]","[2.5]","[2.0]","1"
"1_30-4_39","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_30-7_21","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_30-7_8","0.25","0.00","0.12","[2.0]","[1.0]","[1.5]","1"
"1_31-2_49","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"1_31-4_15","0.12","0.12","0.12","[1.5]","[1.5]","[1.5]","1"
"1_31-5_13","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_31-7_47","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_31-8_17","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_32-2_9","0.00","0.38","0.00","[1.0]","[2.5]","[1.0]","1"
"1_32-6_52","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_32-7_3","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_32-7_39","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_32-7_49","0.25","0.00","0.00","[2.0]","[1.0]","[1.0]","1"
"1_32-8_50","0.38","0.38","0.38","[2.5]","[2.5]","[2.5]","1"
"1_32-9_36","0.50","0.12","0.00","[3.0]","[1.5]","[1.0]","1"
"1_33-7_16","0.00","0.00","0.25","[1.0]","[1.0]","[2.0]","1"
"1_33-8_33","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_33-9_11","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_34-2_53","0.00","0.12","0.00","[1.0]","[1.5]","[1.0]","1"
"1_34-5_50","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_34-7_44","0.25","0.00","0.00","[2.0]","[1.0]","[1.0]","1"
"1_35-3_24","0.12","0.50","0.62","[1.5]","[3.0]","[3.5]","1"
"1_35-3_7","0.00","0.50","0.00","[1.0]","[3.0]","[1.0]","1"
"1_35-5_10","0.75","0.38","0.88","[4.0]","[2.5]","[4.5]","1"
"1_35-7_12","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_37-3_32","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_37-4_3","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_37-5_10","0.50","0.12","0.62","[3.0]","[1.5]","[3.5]","1"
"1_37-5_50","0.50","0.38","0.38","[3.0]","[2.5]","[2.5]","1"
"1_37-7_15","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_37-7_16","0.00","0.00","0.12","[1.0]","[1.0]","[1.5]","1"
"1_37-8_43","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_37-9_43","0.25","0.50","0.12","[2.0]","[3.0]","[1.5]","1"
"1_37-9_49","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_38-2_48","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_38-2_53","0.25","0.12","0.25","[2.0]","[1.5]","[2.0]","1"
"1_38-4_16","0.12","0.25","0.50","[1.5]","[2.0]","[3.0]","1"
"1_39-1_4","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"1_39-4_40","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_39-6_40","0.25","0.50","0.00","[2.0]","[3.0]","[1.0]","1"
"1_39-6_46","0.38","0.12","0.12","[2.5]","[1.5]","[1.5]","1"
"1_39-7_25","0.25","0.12","0.00","[2.0]","[1.5]","[1.0]","1"
"1_39-8_10","0.00","0.00","0.12","[1.0]","[1.0]","[1.5]","1"
"1_4-2_6","0.38","0.75","0.38","[2.5]","[4.0]","[2.5]","1"
"1_4-3_35","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_4-5_28","0.12","0.25","0.25","[1.5]","[2.0]","[2.0]","1"
"1_4-6_11","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_4-6_13","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_40-6_52","0.50","0.62","0.38","[3.0]","[3.5]","[2.5]","1"
"1_40-9_7","0.00","0.12","0.00","[1.0]","[1.5]","[1.0]","1"
"1_41-1_45","0.75","0.75","0.50","[4.0]","[4.0]","[3.0]","1"
"1_41-8_44","0.38","0.25","0.25","[2.5]","[2.0]","[2.0]","1"
"1_42-2_13","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"1_42-6_32","0.62","0.88","0.88","[3.5]","[4.5]","[4.5]","1"
"1_42-7_41","0.75","0.38","0.75","[4.0]","[2.5]","[4.0]","1"
"1_42-8_24","0.50","0.50","0.50","[3.0]","[3.0]","[3.0]","1"
"1_43-2_34","0.12","0.38","0.00","[1.5]","[2.5]","[1.0]","1"
"1_43-3_36","0.88","0.88","0.75","[4.5]","[4.5]","[4.0]","1"
"1_43-6_27","0.25","0.12","0.12","[2.0]","[1.5]","[1.5]","1"
"1_43-6_50","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_43-9_14","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_43-9_41","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_44-2_51","0.00","0.88","0.00","[1.0]","[4.5]","[1.0]","1"
"1_44-6_43","0.00","0.00","0.12","[1.0]","[1.0]","[1.5]","1"
"1_44-7_39","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_44-8_33","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_44-8_6","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_45-3_43","0.12","0.12","0.50","[1.5]","[1.5]","[3.0]","1"
"1_45-7_27","0.12","0.12","0.38","[1.5]","[1.5]","[2.5]","1"
"1_45-9_37","0.12","0.38","0.25","[1.5]","[2.5]","[2.0]","1"
"1_46-3_17","0.00","0.25","0.00","[1.0]","[2.0]","[1.0]","1"
"1_46-3_32","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_46-3_43","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_46-3_46","0.25","0.00","0.12","[2.0]","[1.0]","[1.5]","1"
"1_46-7_53","0.25","0.12","0.25","[2.0]","[1.5]","[2.0]","1"
"1_46-9_30","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_48-1_50","0.00","0.50","0.00","[1.0]","[3.0]","[1.0]","1"
"1_48-7_33","0.38","0.12","0.12","[2.5]","[1.5]","[1.5]","1"
"1_48-7_9","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_48-8_23","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_48-9_35","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_48-9_45","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_49-1_6","0.88","1.00","1.00","[4.5]","[5.0]","[5.0]","1"
"1_49-2_29","0.00","0.50","0.12","[1.0]","[3.0]","[1.5]","1"
"1_5-8_3","0.50","0.50","0.50","[3.0]","[3.0]","[3.0]","1"
"1_50-4_21","0.62","0.75","0.62","[3.5]","[4.0]","[3.5]","1"
"1_50-5_17","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_50-7_52","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_50-9_14","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_51-4_15","0.50","0.00","0.75","[3.0]","[1.0]","[4.0]","1"
"1_51-4_28","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"1_51-8_29","0.38","0.38","0.38","[2.5]","[2.5]","[2.5]","1"
"1_51-8_48","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_51-8_53","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"1_52-8_17","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_53-4_3","0.25","0.00","0.12","[2.0]","[1.0]","[1.5]","1"
"1_53-5_33","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_53-5_40","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_54-2_47","0.12","0.38","0.00","[1.5]","[2.5]","[1.0]","1"
"1_54-3_31","0.12","0.12","0.50","[1.5]","[1.5]","[3.0]","1"
"1_54-6_19","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_54-8_23","0.25","0.12","0.12","[2.0]","[1.5]","[1.5]","1"
"1_54-8_38","0.12","0.00","0.25","[1.5]","[1.0]","[2.0]","1"
"1_54-9_6","0.25","0.62","0.12","[2.0]","[3.5]","[1.5]","1"
"1_6-3_42","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_6-7_42","0.25","0.12","0.00","[2.0]","[1.5]","[1.0]","1"
"1_7-2_44","0.75","0.88","0.88","[4.0]","[4.5]","[4.5]","1"
"1_7-3_20","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_7-3_39","0.00","0.00","0.25","[1.0]","[1.0]","[2.0]","1"
"1_7-7_5","0.12","0.12","0.12","[1.5]","[1.5]","[1.5]","1"
"1_7-9_54","0.25","0.00","0.00","[2.0]","[1.0]","[1.0]","1"
"1_8-3_46","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_8-7_45","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_8-8_37","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_9-6_26","0.38","0.50","0.38","[2.5]","[3.0]","[2.5]","1"
"1_9-6_4","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"1_9-9_26","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"2_1-2_30","1.00","1.00","1.00","[5.0]","[5.0]","[5.0]","1"
"2_1-8_24","0.50","0.38","0.25","[3.0]","[2.5]","[2.0]","1"
"2_1-9_32","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_1-9_48","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"2_10-3_14","0.38","0.12","0.00","[2.5]","[1.5]","[1.0]","1"
"2_10-4_25","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"2_10-9_11","0.00","0.00","0.12","[1.0]","[1.0]","[1.5]","1"
"2_10-9_13","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"2_10-9_47","0.25","0.12","0.25","[2.0]","[1.5]","[2.0]","1"
"2_12-2_27","0.00","0.75","0.00","[1.0]","[4.0]","[1.0]","1"
"2_12-3_16","0.25","0.00","0.25","[2.0]","[1.0]","[2.0]","1"
"2_12-3_19","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_12-3_23","0.00","0.00","0.12","[1.0]","[1.0]","[1.5]","1"
"2_12-3_38","0.12","0.00","0.12","[1.5]","[1.0]","[1.5]","1"
"2_12-3_50","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_12-7_37","0.25","0.12","0.00","[2.0]","[1.5]","[1.0]","1"
"2_12-7_47","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_13-5_28","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_13-8_3","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_13-9_10","0.12","0.12","0.12","[1.5]","[1.5]","[1.5]","1"
"2_14-4_20","0.00","0.00","0.75","[1.0]","[1.0]","[4.0]","1"
"2_15-4_43","0.50","0.62","0.62","[3.0]","[3.5]","[3.5]","1"
"2_15-9_3","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_16-2_29","0.50","0.75","0.62","[3.0]","[4.0]","[3.5]","1"
"2_16-2_53","0.38","0.50","0.62","[2.5]","[3.0]","[3.5]","1"
"2_16-8_3","0.25","0.00","0.25","[2.0]","[1.0]","[2.0]","1"
"2_17-5_13","0.38","0.38","0.25","[2.5]","[2.5]","[2.0]","1"
"2_17-5_5","0.25","0.62","0.12","[2.0]","[3.5]","[1.5]","1"
"2_17-6_52","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"2_17-7_38","0.00","0.00","0.62","[1.0]","[1.0]","[3.5]","1"
"2_17-7_39","0.25","0.00","0.50","[2.0]","[1.0]","[3.0]","1"
"2_17-7_40","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_17-8_12","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"2_18-6_51","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_18-7_2","0.12","0.25","0.12","[1.5]","[2.0]","[1.5]","1"
"2_18-7_3","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_18-8_29","0.00","0.00","0.12","[1.0]","[1.0]","[1.5]","1"
"2_18-9_37","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_19-2_26","0.38","0.42","0.50","[2.0, 3.5, 2.0]","[2.0, 4.0, 2.0]","[3.0, 4.0, 2.0]","3"
"2_19-3_2","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_19-4_13","0.00","0.12","0.00","[1.0]","[1.5]","[1.0]","1"
"2_19-4_8","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_19-5_34","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_19-6_24","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_19-6_53","0.04","0.00","0.00","[1.0, 1.0, 1.5]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","3"
"2_19-7_1","0.00","0.00","0.00","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]","2"
"2_19-7_32","0.00","0.00","0.00","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","5"
"2_19-8_15","0.21","0.25","0.29","[1.5, 2.5, 1.5]","[1.0, 3.5, 1.5]","[1.0, 4.0, 1.5]","3"
"2_19-8_5","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_19-9_22","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_19-9_8","0.25","0.00","0.12","[2.0]","[1.0]","[1.5]","1"
"2_2-5_16","0.25","0.25","0.00","[2.0]","[2.0]","[1.0]","1"
"2_21-5_7","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_21-6_52","0.50","0.50","0.50","[3.0]","[3.0]","[3.0]","1"
"2_21-7_16","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"2_23-2_4","0.25","0.25","0.62","[2.0]","[2.0]","[3.5]","1"
"2_23-6_39","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_23-7_8","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_23-8_38","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_23-8_47","0.00","0.12","0.62","[1.0]","[1.5]","[3.5]","1"
"2_23-9_44","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"2_23-9_53","0.00","0.50","0.12","[1.0]","[3.0]","[1.5]","1"
"2_24-4_33","0.00","0.00","0.12","[1.0]","[1.0]","[1.5]","1"
"2_25-6_21","0.25","0.25","0.25","[2.0]","[2.0]","[2.0]","1"
"2_26-3_2","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_26-3_51","0.12","0.00","0.12","[1.5, 1.5]","[1.0, 1.0]","[1.0, 2.0]","2"
"2_26-4_8","0.62","0.50","0.75","[3.5]","[3.0]","[4.0]","1"
"2_26-5_34","0.12","0.00","0.00","[1.5]","[1.0]","[1.0]","1"
"2_26-6_24","0.04","0.00","0.17","[1.0, 1.0, 1.5]","[1.0, 1.0, 1.0]","[1.0, 2.5, 1.5]","3"
"2_26-6_53","0.00","0.00","0.00","[1.0]","[1.0]","[1.0]","1"
"2_26-7_1","0.12","0.12","0.00","[1.5]","[1.5]","[1.0]","1"
"2_26-8_15","0.00","0.06","0.06","[1.0, 1.0]","[1.0, 1.5]","[1.0, 1.5]","2"
"2_26-8_5","0.17","0.25","0.04","[1.5, 1.5, 2.0]","[1.0, 2.0, 3.0]","[1.0, 1.5, 1.0]","3"
"2_26-9_22","0.00","0.00","0.00","[1.0, 1.0]","[1.0, 1.0]","[1.0, 1.0]","2"
