note_id,path,split,instrument_family,instrument_source,pitch,velocity,sample_rate,license_status,notes
bass_synthetic_134-091-127,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_134-091-127.wav,valid,bass,synthetic,91,127,16000,nsynth_license,
organ_electronic_001-039-100,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_001-039-100.wav,valid,organ,electronic,39,100,16000,nsynth_license,
guitar_acoustic_015-089-050,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_015-089-050.wav,valid,guitar,acoustic,89,50,16000,nsynth_license,
bass_synthetic_098-048-075,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_098-048-075.wav,valid,bass,synthetic,48,75,16000,nsynth_license,
bass_synthetic_009-094-100,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_009-094-100.wav,valid,bass,synthetic,94,100,16000,nsynth_license,
string_acoustic_057-085-050,../../datasets/nsynth/nsynth-valid/audio/string_acoustic_057-085-050.wav,valid,string,acoustic,85,50,16000,nsynth_license,
organ_electronic_001-048-075,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_001-048-075.wav,valid,organ,electronic,48,75,16000,nsynth_license,
brass_acoustic_016-054-025,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_016-054-025.wav,valid,brass,acoustic,54,25,16000,nsynth_license,
keyboard_synthetic_000-097-025,../../datasets/nsynth/nsynth-valid/audio/keyboard_synthetic_000-097-025.wav,valid,keyboard,synthetic,97,25,16000,nsynth_license,
organ_electronic_007-024-100,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_007-024-100.wav,valid,organ,electronic,24,100,16000,nsynth_license,
keyboard_electronic_001-067-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_001-067-075.wav,valid,keyboard,electronic,67,75,16000,nsynth_license,
keyboard_electronic_003-030-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_003-030-075.wav,valid,keyboard,electronic,30,75,16000,nsynth_license,
bass_synthetic_068-099-127,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_068-099-127.wav,valid,bass,synthetic,99,127,16000,nsynth_license,
guitar_acoustic_015-041-127,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_015-041-127.wav,valid,guitar,acoustic,41,127,16000,nsynth_license,
reed_acoustic_037-039-100,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_037-039-100.wav,valid,reed,acoustic,39,100,16000,nsynth_license,
guitar_acoustic_010-106-127,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_010-106-127.wav,valid,guitar,acoustic,106,127,16000,nsynth_license,
organ_electronic_028-038-025,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_028-038-025.wav,valid,organ,electronic,38,25,16000,nsynth_license,
reed_acoustic_023-042-100,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_023-042-100.wav,valid,reed,acoustic,42,100,16000,nsynth_license,
guitar_electronic_022-080-075,../../datasets/nsynth/nsynth-valid/audio/guitar_electronic_022-080-075.wav,valid,guitar,electronic,80,75,16000,nsynth_license,
organ_electronic_057-028-050,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_057-028-050.wav,valid,organ,electronic,28,50,16000,nsynth_license,
brass_acoustic_006-043-127,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_006-043-127.wav,valid,brass,acoustic,43,127,16000,nsynth_license,
reed_acoustic_011-070-075,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_011-070-075.wav,valid,reed,acoustic,70,75,16000,nsynth_license,
bass_synthetic_033-094-050,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_033-094-050.wav,valid,bass,synthetic,94,50,16000,nsynth_license,
guitar_acoustic_030-062-075,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_030-062-075.wav,valid,guitar,acoustic,62,75,16000,nsynth_license,
guitar_electronic_028-052-025,../../datasets/nsynth/nsynth-valid/audio/guitar_electronic_028-052-025.wav,valid,guitar,electronic,52,25,16000,nsynth_license,
bass_synthetic_068-085-075,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_068-085-075.wav,valid,bass,synthetic,85,75,16000,nsynth_license,
keyboard_electronic_002-068-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_002-068-075.wav,valid,keyboard,electronic,68,75,16000,nsynth_license,
brass_acoustic_006-081-127,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_006-081-127.wav,valid,brass,acoustic,81,127,16000,nsynth_license,
guitar_electronic_022-056-100,../../datasets/nsynth/nsynth-valid/audio/guitar_electronic_022-056-100.wav,valid,guitar,electronic,56,100,16000,nsynth_license,
bass_electronic_025-035-100,../../datasets/nsynth/nsynth-valid/audio/bass_electronic_025-035-100.wav,valid,bass,electronic,35,100,16000,nsynth_license,
vocal_synthetic_003-104-100,../../datasets/nsynth/nsynth-valid/audio/vocal_synthetic_003-104-100.wav,valid,vocal,synthetic,104,100,16000,nsynth_license,
guitar_acoustic_010-035-050,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_010-035-050.wav,valid,guitar,acoustic,35,50,16000,nsynth_license,
reed_acoustic_023-044-025,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_023-044-025.wav,valid,reed,acoustic,44,25,16000,nsynth_license,
keyboard_electronic_001-083-100,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_001-083-100.wav,valid,keyboard,electronic,83,100,16000,nsynth_license,
keyboard_electronic_002-086-127,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_002-086-127.wav,valid,keyboard,electronic,86,127,16000,nsynth_license,
bass_synthetic_009-057-025,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_009-057-025.wav,valid,bass,synthetic,57,25,16000,nsynth_license,
bass_electronic_025-061-050,../../datasets/nsynth/nsynth-valid/audio/bass_electronic_025-061-050.wav,valid,bass,electronic,61,50,16000,nsynth_license,
organ_electronic_113-037-025,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_113-037-025.wav,valid,organ,electronic,37,25,16000,nsynth_license,
keyboard_synthetic_000-075-100,../../datasets/nsynth/nsynth-valid/audio/keyboard_synthetic_000-075-100.wav,valid,keyboard,synthetic,75,100,16000,nsynth_license,
keyboard_synthetic_000-076-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_synthetic_000-076-075.wav,valid,keyboard,synthetic,76,75,16000,nsynth_license,
keyboard_electronic_001-031-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_001-031-075.wav,valid,keyboard,electronic,31,75,16000,nsynth_license,
keyboard_electronic_002-086-025,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_002-086-025.wav,valid,keyboard,electronic,86,25,16000,nsynth_license,
guitar_acoustic_010-038-100,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_010-038-100.wav,valid,guitar,acoustic,38,100,16000,nsynth_license,
organ_electronic_028-049-127,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_028-049-127.wav,valid,organ,electronic,49,127,16000,nsynth_license,
keyboard_electronic_003-051-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_003-051-075.wav,valid,keyboard,electronic,51,75,16000,nsynth_license,
flute_synthetic_000-070-100,../../datasets/nsynth/nsynth-valid/audio/flute_synthetic_000-070-100.wav,valid,flute,synthetic,70,100,16000,nsynth_license,
keyboard_electronic_098-042-050,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_098-042-050.wav,valid,keyboard,electronic,42,50,16000,nsynth_license,
bass_electronic_027-059-100,../../datasets/nsynth/nsynth-valid/audio/bass_electronic_027-059-100.wav,valid,bass,electronic,59,100,16000,nsynth_license,
organ_electronic_104-084-050,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_104-084-050.wav,valid,organ,electronic,84,50,16000,nsynth_license,
bass_synthetic_009-090-127,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_009-090-127.wav,valid,bass,synthetic,90,127,16000,nsynth_license,
bass_synthetic_135-077-127,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_135-077-127.wav,valid,bass,synthetic,77,127,16000,nsynth_license,
bass_synthetic_098-060-100,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_098-060-100.wav,valid,bass,synthetic,60,100,16000,nsynth_license,
bass_synthetic_135-079-025,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_135-079-025.wav,valid,bass,synthetic,79,25,16000,nsynth_license,
mallet_acoustic_062-085-025,../../datasets/nsynth/nsynth-valid/audio/mallet_acoustic_062-085-025.wav,valid,mallet,acoustic,85,25,16000,nsynth_license,
guitar_electronic_028-061-127,../../datasets/nsynth/nsynth-valid/audio/guitar_electronic_028-061-127.wav,valid,guitar,electronic,61,127,16000,nsynth_license,
keyboard_electronic_003-033-050,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_003-033-050.wav,valid,keyboard,electronic,33,50,16000,nsynth_license,
keyboard_electronic_078-038-050,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_078-038-050.wav,valid,keyboard,electronic,38,50,16000,nsynth_license,
flute_synthetic_000-084-050,../../datasets/nsynth/nsynth-valid/audio/flute_synthetic_000-084-050.wav,valid,flute,synthetic,84,50,16000,nsynth_license,
brass_acoustic_015-047-075,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_015-047-075.wav,valid,brass,acoustic,47,75,16000,nsynth_license,
string_acoustic_057-062-025,../../datasets/nsynth/nsynth-valid/audio/string_acoustic_057-062-025.wav,valid,string,acoustic,62,25,16000,nsynth_license,
reed_acoustic_011-060-100,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_011-060-100.wav,valid,reed,acoustic,60,100,16000,nsynth_license,
bass_synthetic_098-041-100,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_098-041-100.wav,valid,bass,synthetic,41,100,16000,nsynth_license,
organ_electronic_028-082-050,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_028-082-050.wav,valid,organ,electronic,82,50,16000,nsynth_license,
brass_acoustic_046-076-100,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_046-076-100.wav,valid,brass,acoustic,76,100,16000,nsynth_license,
keyboard_electronic_069-058-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_069-058-075.wav,valid,keyboard,electronic,58,75,16000,nsynth_license,
guitar_electronic_022-084-127,../../datasets/nsynth/nsynth-valid/audio/guitar_electronic_022-084-127.wav,valid,guitar,electronic,84,127,16000,nsynth_license,
vocal_synthetic_003-083-100,../../datasets/nsynth/nsynth-valid/audio/vocal_synthetic_003-083-100.wav,valid,vocal,synthetic,83,100,16000,nsynth_license,
guitar_electronic_028-021-025,../../datasets/nsynth/nsynth-valid/audio/guitar_electronic_028-021-025.wav,valid,guitar,electronic,21,25,16000,nsynth_license,
keyboard_synthetic_000-046-050,../../datasets/nsynth/nsynth-valid/audio/keyboard_synthetic_000-046-050.wav,valid,keyboard,synthetic,46,50,16000,nsynth_license,
guitar_acoustic_015-055-050,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_015-055-050.wav,valid,guitar,acoustic,55,50,16000,nsynth_license,
keyboard_electronic_069-039-127,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_069-039-127.wav,valid,keyboard,electronic,39,127,16000,nsynth_license,
keyboard_electronic_098-027-050,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_098-027-050.wav,valid,keyboard,electronic,27,50,16000,nsynth_license,
guitar_electronic_028-062-100,../../datasets/nsynth/nsynth-valid/audio/guitar_electronic_028-062-100.wav,valid,guitar,electronic,62,100,16000,nsynth_license,
guitar_acoustic_010-041-100,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_010-041-100.wav,valid,guitar,acoustic,41,100,16000,nsynth_license,
guitar_acoustic_021-108-025,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_021-108-025.wav,valid,guitar,acoustic,108,25,16000,nsynth_license,
bass_synthetic_134-086-025,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_134-086-025.wav,valid,bass,synthetic,86,25,16000,nsynth_license,
keyboard_electronic_098-082-050,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_098-082-050.wav,valid,keyboard,electronic,82,50,16000,nsynth_license,
bass_synthetic_068-073-100,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_068-073-100.wav,valid,bass,synthetic,73,100,16000,nsynth_license,
string_acoustic_014-038-050,../../datasets/nsynth/nsynth-valid/audio/string_acoustic_014-038-050.wav,valid,string,acoustic,38,50,16000,nsynth_license,
brass_acoustic_046-089-100,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_046-089-100.wav,valid,brass,acoustic,89,100,16000,nsynth_license,
guitar_acoustic_021-099-025,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_021-099-025.wav,valid,guitar,acoustic,99,25,16000,nsynth_license,
organ_electronic_057-072-127,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_057-072-127.wav,valid,organ,electronic,72,127,16000,nsynth_license,
organ_electronic_007-015-127,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_007-015-127.wav,valid,organ,electronic,15,127,16000,nsynth_license,
bass_synthetic_098-095-100,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_098-095-100.wav,valid,bass,synthetic,95,100,16000,nsynth_license,
vocal_synthetic_003-035-100,../../datasets/nsynth/nsynth-valid/audio/vocal_synthetic_003-035-100.wav,valid,vocal,synthetic,35,100,16000,nsynth_license,
vocal_acoustic_000-057-075,../../datasets/nsynth/nsynth-valid/audio/vocal_acoustic_000-057-075.wav,valid,vocal,acoustic,57,75,16000,nsynth_license,
organ_electronic_104-070-100,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_104-070-100.wav,valid,organ,electronic,70,100,16000,nsynth_license,
keyboard_electronic_098-061-050,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_098-061-050.wav,valid,keyboard,electronic,61,50,16000,nsynth_license,
string_acoustic_057-081-025,../../datasets/nsynth/nsynth-valid/audio/string_acoustic_057-081-025.wav,valid,string,acoustic,81,25,16000,nsynth_license,
bass_synthetic_135-028-075,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_135-028-075.wav,valid,bass,synthetic,28,75,16000,nsynth_license,
organ_electronic_028-053-075,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_028-053-075.wav,valid,organ,electronic,53,75,16000,nsynth_license,
organ_electronic_028-034-100,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_028-034-100.wav,valid,organ,electronic,34,100,16000,nsynth_license,
guitar_acoustic_015-038-100,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_015-038-100.wav,valid,guitar,acoustic,38,100,16000,nsynth_license,
organ_electronic_028-037-127,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_028-037-127.wav,valid,organ,electronic,37,127,16000,nsynth_license,
guitar_acoustic_021-021-127,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_021-021-127.wav,valid,guitar,acoustic,21,127,16000,nsynth_license,
guitar_acoustic_021-022-100,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_021-022-100.wav,valid,guitar,acoustic,22,100,16000,nsynth_license,
flute_synthetic_000-096-075,../../datasets/nsynth/nsynth-valid/audio/flute_synthetic_000-096-075.wav,valid,flute,synthetic,96,75,16000,nsynth_license,
organ_electronic_028-029-025,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_028-029-025.wav,valid,organ,electronic,29,25,16000,nsynth_license,
bass_synthetic_134-064-075,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_134-064-075.wav,valid,bass,synthetic,64,75,16000,nsynth_license,
guitar_acoustic_021-033-025,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_021-033-025.wav,valid,guitar,acoustic,33,25,16000,nsynth_license,
bass_electronic_025-036-050,../../datasets/nsynth/nsynth-valid/audio/bass_electronic_025-036-050.wav,valid,bass,electronic,36,50,16000,nsynth_license,
bass_synthetic_068-064-025,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_068-064-025.wav,valid,bass,synthetic,64,25,16000,nsynth_license,
brass_acoustic_046-062-050,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_046-062-050.wav,valid,brass,acoustic,62,50,16000,nsynth_license,
guitar_acoustic_015-036-100,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_015-036-100.wav,valid,guitar,acoustic,36,100,16000,nsynth_license,
mallet_acoustic_047-107-075,../../datasets/nsynth/nsynth-valid/audio/mallet_acoustic_047-107-075.wav,valid,mallet,acoustic,107,75,16000,nsynth_license,
reed_acoustic_023-094-075,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_023-094-075.wav,valid,reed,acoustic,94,75,16000,nsynth_license,
reed_acoustic_011-035-100,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_011-035-100.wav,valid,reed,acoustic,35,100,16000,nsynth_license,
guitar_electronic_028-040-100,../../datasets/nsynth/nsynth-valid/audio/guitar_electronic_028-040-100.wav,valid,guitar,electronic,40,100,16000,nsynth_license,
organ_electronic_001-079-025,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_001-079-025.wav,valid,organ,electronic,79,25,16000,nsynth_license,
brass_acoustic_015-073-025,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_015-073-025.wav,valid,brass,acoustic,73,25,16000,nsynth_license,
keyboard_electronic_003-066-127,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_003-066-127.wav,valid,keyboard,electronic,66,127,16000,nsynth_license,
bass_synthetic_134-034-025,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_134-034-025.wav,valid,bass,synthetic,34,25,16000,nsynth_license,
bass_synthetic_135-024-075,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_135-024-075.wav,valid,bass,synthetic,24,75,16000,nsynth_license,
reed_acoustic_037-074-050,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_037-074-050.wav,valid,reed,acoustic,74,50,16000,nsynth_license,
brass_acoustic_046-078-075,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_046-078-075.wav,valid,brass,acoustic,78,75,16000,nsynth_license,
bass_electronic_027-053-100,../../datasets/nsynth/nsynth-valid/audio/bass_electronic_027-053-100.wav,valid,bass,electronic,53,100,16000,nsynth_license,
keyboard_synthetic_000-082-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_synthetic_000-082-075.wav,valid,keyboard,synthetic,82,75,16000,nsynth_license,
brass_acoustic_059-036-075,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_059-036-075.wav,valid,brass,acoustic,36,75,16000,nsynth_license,
organ_electronic_104-037-075,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_104-037-075.wav,valid,organ,electronic,37,75,16000,nsynth_license,
guitar_electronic_028-053-050,../../datasets/nsynth/nsynth-valid/audio/guitar_electronic_028-053-050.wav,valid,guitar,electronic,53,50,16000,nsynth_license,
organ_electronic_104-072-025,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_104-072-025.wav,valid,organ,electronic,72,25,16000,nsynth_license,
keyboard_synthetic_000-081-127,../../datasets/nsynth/nsynth-valid/audio/keyboard_synthetic_000-081-127.wav,valid,keyboard,synthetic,81,127,16000,nsynth_license,
string_acoustic_012-055-100,../../datasets/nsynth/nsynth-valid/audio/string_acoustic_012-055-100.wav,valid,string,acoustic,55,100,16000,nsynth_license,
organ_electronic_104-059-025,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_104-059-025.wav,valid,organ,electronic,59,25,16000,nsynth_license,
organ_electronic_007-087-050,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_007-087-050.wav,valid,organ,electronic,87,50,16000,nsynth_license,
organ_electronic_007-046-050,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_007-046-050.wav,valid,organ,electronic,46,50,16000,nsynth_license,
reed_acoustic_011-035-050,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_011-035-050.wav,valid,reed,acoustic,35,50,16000,nsynth_license,
guitar_acoustic_030-062-127,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_030-062-127.wav,valid,guitar,acoustic,62,127,16000,nsynth_license,
bass_synthetic_098-099-050,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_098-099-050.wav,valid,bass,synthetic,99,50,16000,nsynth_license,
vocal_synthetic_003-039-050,../../datasets/nsynth/nsynth-valid/audio/vocal_synthetic_003-039-050.wav,valid,vocal,synthetic,39,50,16000,nsynth_license,
mallet_acoustic_047-106-075,../../datasets/nsynth/nsynth-valid/audio/mallet_acoustic_047-106-075.wav,valid,mallet,acoustic,106,75,16000,nsynth_license,
reed_acoustic_018-053-100,../../datasets/nsynth/nsynth-valid/audio/reed_acoustic_018-053-100.wav,valid,reed,acoustic,53,100,16000,nsynth_license,
bass_electronic_027-060-127,../../datasets/nsynth/nsynth-valid/audio/bass_electronic_027-060-127.wav,valid,bass,electronic,60,127,16000,nsynth_license,
mallet_acoustic_047-095-075,../../datasets/nsynth/nsynth-valid/audio/mallet_acoustic_047-095-075.wav,valid,mallet,acoustic,95,75,16000,nsynth_license,
bass_synthetic_033-105-127,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_033-105-127.wav,valid,bass,synthetic,105,127,16000,nsynth_license,
bass_synthetic_033-060-050,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_033-060-050.wav,valid,bass,synthetic,60,50,16000,nsynth_license,
keyboard_electronic_003-037-100,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_003-037-100.wav,valid,keyboard,electronic,37,100,16000,nsynth_license,
bass_synthetic_033-061-127,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_033-061-127.wav,valid,bass,synthetic,61,127,16000,nsynth_license,
flute_synthetic_000-064-050,../../datasets/nsynth/nsynth-valid/audio/flute_synthetic_000-064-050.wav,valid,flute,synthetic,64,50,16000,nsynth_license,
mallet_acoustic_056-117-025,../../datasets/nsynth/nsynth-valid/audio/mallet_acoustic_056-117-025.wav,valid,mallet,acoustic,117,25,16000,nsynth_license,
keyboard_electronic_001-087-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_001-087-075.wav,valid,keyboard,electronic,87,75,16000,nsynth_license,
keyboard_electronic_003-063-100,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_003-063-100.wav,valid,keyboard,electronic,63,100,16000,nsynth_license,
keyboard_electronic_001-084-075,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_001-084-075.wav,valid,keyboard,electronic,84,75,16000,nsynth_license,
keyboard_electronic_002-038-100,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_002-038-100.wav,valid,keyboard,electronic,38,100,16000,nsynth_license,
brass_acoustic_006-083-025,../../datasets/nsynth/nsynth-valid/audio/brass_acoustic_006-083-025.wav,valid,brass,acoustic,83,25,16000,nsynth_license,
bass_synthetic_033-061-025,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_033-061-025.wav,valid,bass,synthetic,61,25,16000,nsynth_license,
mallet_acoustic_062-065-025,../../datasets/nsynth/nsynth-valid/audio/mallet_acoustic_062-065-025.wav,valid,mallet,acoustic,65,25,16000,nsynth_license,
bass_electronic_018-049-127,../../datasets/nsynth/nsynth-valid/audio/bass_electronic_018-049-127.wav,valid,bass,electronic,49,127,16000,nsynth_license,
guitar_acoustic_021-036-127,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_021-036-127.wav,valid,guitar,acoustic,36,127,16000,nsynth_license,
keyboard_synthetic_000-034-100,../../datasets/nsynth/nsynth-valid/audio/keyboard_synthetic_000-034-100.wav,valid,keyboard,synthetic,34,100,16000,nsynth_license,
string_acoustic_080-028-127,../../datasets/nsynth/nsynth-valid/audio/string_acoustic_080-028-127.wav,valid,string,acoustic,28,127,16000,nsynth_license,
organ_electronic_057-078-050,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_057-078-050.wav,valid,organ,electronic,78,50,16000,nsynth_license,
guitar_acoustic_021-077-127,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_021-077-127.wav,valid,guitar,acoustic,77,127,16000,nsynth_license,
guitar_acoustic_014-100-050,../../datasets/nsynth/nsynth-valid/audio/guitar_acoustic_014-100-050.wav,valid,guitar,acoustic,100,50,16000,nsynth_license,
bass_synthetic_098-062-075,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_098-062-075.wav,valid,bass,synthetic,62,75,16000,nsynth_license,
bass_synthetic_034-063-025,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_034-063-025.wav,valid,bass,synthetic,63,25,16000,nsynth_license,
bass_synthetic_068-096-100,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_068-096-100.wav,valid,bass,synthetic,96,100,16000,nsynth_license,
bass_synthetic_135-094-075,../../datasets/nsynth/nsynth-valid/audio/bass_synthetic_135-094-075.wav,valid,bass,synthetic,94,75,16000,nsynth_license,
organ_electronic_028-050-075,../../datasets/nsynth/nsynth-valid/audio/organ_electronic_028-050-075.wav,valid,organ,electronic,50,75,16000,nsynth_license,
keyboard_electronic_001-036-100,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_001-036-100.wav,valid,keyboard,electronic,36,100,16000,nsynth_license,
keyboard_electronic_002-072-100,../../datasets/nsynth/nsynth-valid/audio/keyboard_electronic_002-072-100.wav,valid,keyboard,electronic,72,100,16000,nsynth_license,
